name,cours,value(%)
Bitcoin (BTC)  ,8300.01,1.06
Maker (MKR)  ,408.2,-0.16
Ethereum (ETH)  ,216.75,2.37
Bitcoin Cash (BCH)  ,214.83,1.95
Bitcoin SV (BSV)  ,166.2,2.57
Dash (DASH)  ,63.82,2.31
Monero (XMR)  ,58.51,1.88
Zcash (ZEC)  ,51.3,4.83
Litecoin (LTC)  ,39.74,2.96
Augur (REP)  ,18.31,7.04
Binance Coin (BNB)  ,15.2,2.46
Decred (DCR)  ,13.52,1.9
NEO (NEO)  ,9.82,5.43
Quant (QNT)  ,8.32,2.46
Bitcoin Gold (BTG)  ,8.31,0.07
ZenCash (ZEN)  ,6.12,0.8
Ethereum Classic (ETC)  ,5.7,2.82
ChainLink (LINK)  ,5.49,8.07
OKB (OKB)  ,4.51,1.23
Monaco (MCO)  ,3.79,1.92
Huobi Token (HT)  ,3.73,1.23
Cosmos (ATOM)  ,3.03,5.51
FTX Token (FTT)  ,2.7,1.66
Havven (SNX)  ,2.53,14.73
EOS (EOS)  ,2.35,3.52
Tezos (Pre-Launch) (XTZ)  ,2.32,2.0
Qtum (QTUM)  ,1.79,13.19
Energi (NRG)  ,1.75,-0.32
MonaCoin (MONA)  ,1.53,2.36
Bancor (BNT)  ,1.44,4.52
Kyber Network (KNC)  ,1.43,-1.56
OmiseGO (OMG)  ,1.42,4.08
HedgeTrade (HEDG)  ,1.27,-0.44
Lisk (LSK)  ,1.09,7.1
UNUS SED LEO (LEO)  ,1.08,-1.31
Waves (WAVES)  ,1.06,3.3
Nano (NANO)  ,0.92,4.27
Multi-collateral DAI (DAI)  ,0.89,0.2
Tether (USDT)  ,0.88,-0.59
USD Coin (USDC)  ,0.88,-0.64
Paxos Standard Token (PAX)  ,0.88,-0.7
Binance USD (BUSD)  ,0.88,-0.59
TrueUSD (TUSD)  ,0.88,-0.59
HUSD (HUSD)  ,0.88,-0.62
Bitcoin Diamond (BCD)  ,0.77,2.92
iExec RLC (RLC)  ,0.77,5.38
KuCoin Shares (KCS)  ,0.74,10.68
Komodo (KMD)  ,0.59,3.91
Ontology (ONT)  ,0.57,4.53
Hyperion (HYN)  ,0.44,-0.75
0x (ZRX)  ,0.4,7.33
Celsius (CEL)  ,0.36,0.06
ICON (ICX)  ,0.34,-2.42
IOTA (MIOTA)  ,0.23,4.47
Basic Attention Token (BAT)  ,0.23,0.18
Theta Token (THETA)  ,0.22,-1.43
Algorand (ALGO)  ,0.21,3.41
Nexo (NEXO)  ,0.2,6.78
ZB (ZB)  ,0.2,1.48
LUNA (LUNA)  ,0.19,-0.93
Steem (STEEM)  ,0.19,2.28
Ripple (XRP)  ,0.18,7.82
ETHLend (LEND)  ,0.17,-4.77
Republic Protocol (REN)  ,0.17,4.78
Enjin Coin (ENJ)  ,0.16,3.1
Crypto.com Chain (CRO)  ,0.13,3.19
Blockstack (STX)  ,0.12,5.2
Cardano (ADA)  ,0.11,12.83
ABBC Coin (ABBC)  ,0.1,3.71
Loopring (LRC)  ,0.09,0.37
Bytom (BTM)  ,0.08,8.75
SwissBorg (CHSB)  ,0.08,-6.26
Stellar (XLM)  ,0.07,8.02
WAX (WAXP)  ,0.05,-1.9
NEM (XEM)  ,0.04,5.0
Hedera Hashgraph (HBAR)  ,0.04,0.61
The Midas Touch Gold (TMTG)  ,0.04,12.33
Divi (DIVI)  ,0.04,1.25
Decentraland (MANA)  ,0.04,3.38
TRON (TRX)  ,0.02,2.76
VeChain (VET)  ,0.02,21.15
DigiByte (DGB)  ,0.02,2.41
Zilliqa (ZIL)  ,0.02,-0.32
Ravencoin (RVN)  ,0.02,4.46
Status (SNT)  ,0.02,7.26
Matic Network (MATIC)  ,0.02,6.18
BitShares (BTS)  ,0.02,6.36
Elrond (ERD)  ,0.007,5.73
Verge (XVG)  ,0.006,-7.73
IOStoken (IOST)  ,0.006,1.49
Electroneum (ETN)  ,0.005,-2.07
Flexacoin (FXC)  ,0.004,5.78
Nervos Network (CKB)  ,0.004,2.54
Dogecoin (DOGE)  ,0.003,42.29
Siacoin (SC)  ,0.003,12.9
DxChain Token (DX)  ,0.002,2.16
Holo (HOT)  ,0.0005,1.59
BitTorrent (BTT)  ,0.0003,2.46
